,X_train (sequence),y_train
47,"0.0069,0.0067,0.0063,0.0067,0.0066,0.0044,0.0066,0.005,0.0059,0.0062,0.0116,0.0129,0.0136,0.0149,0.0165,0.0245,0.0288,0.0297,0.0272,0.0275,0.0273,0.0268,0.0315,0.0332",0.0337
48,"0.0067,0.0063,0.0067,0.0066,0.0044,0.0066,0.005,0.0059,0.0062,0.0116,0.0129,0.0136,0.0149,0.0165,0.0245,0.0288,0.0297,0.0272,0.0275,0.0273,0.0268,0.0315,0.0332,0.0337",0.0302
49,"0.0063,0.0067,0.0066,0.0044,0.0066,0.005,0.0059,0.0062,0.0116,0.0129,0.0136,0.0149,0.0165,0.0245,0.0288,0.0297,0.0272,0.0275,0.0273,0.0268,0.0315,0.0332,0.0337,0.0302",0.0271
50,"0.0067,0.0066,0.0044,0.0066,0.005,0.0059,0.0062,0.0116,0.0129,0.0136,0.0149,0.0165,0.0245,0.0288,0.0297,0.0272,0.0275,0.0273,0.0268,0.0315,0.0332,0.0337,0.0302,0.0271",0.0271
51,"0.0066,0.0044,0.0066,0.005,0.0059,0.0062,0.0116,0.0129,0.0136,0.0149,0.0165,0.0245,0.0288,0.0297,0.0272,0.0275,0.0273,0.0268,0.0315,0.0332,0.0337,0.0302,0.0271,0.0271",0.0256
52,"0.0044,0.0066,0.005,0.0059,0.0062,0.0116,0.0129,0.0136,0.0149,0.0165,0.0245,0.0288,0.0297,0.0272,0.0275,0.0273,0.0268,0.0315,0.0332,0.0337,0.0302,0.0271,0.0271,0.0256",0.0243
53,"0.0066,0.005,0.0059,0.0062,0.0116,0.0129,0.0136,0.0149,0.0165,0.0245,0.0288,0.0297,0.0272,0.0275,0.0273,0.0268,0.0315,0.0332,0.0337,0.0302,0.0271,0.0271,0.0256,0.0243",0.026
54,"0.005,0.0059,0.0062,0.0116,0.0129,0.0136,0.0149,0.0165,0.0245,0.0288,0.0297,0.0272,0.0275,0.0273,0.0268,0.0315,0.0332,0.0337,0.0302,0.0271,0.0271,0.0256,0.0243,0.026",0.0263
55,"0.0059,0.0062,0.0116,0.0129,0.0136,0.0149,0.0165,0.0245,0.0288,0.0297,0.0272,0.0275,0.0273,0.0268,0.0315,0.0332,0.0337,0.0302,0.0271,0.0271,0.0256,0.0243,0.026,0.0263",0.0264
56,"0.0062,0.0116,0.0129,0.0136,0.0149,0.0165,0.0245,0.0288,0.0297,0.0272,0.0275,0.0273,0.0268,0.0315,0.0332,0.0337,0.0302,0.0271,0.0271,0.0256,0.0243,0.026,0.0263,0.0264",0.0252
57,"0.0116,0.0129,0.0136,0.0149,0.0165,0.0245,0.0288,0.0297,0.0272,0.0275,0.0273,0.0268,0.0315,0.0332,0.0337,0.0302,0.0271,0.0271,0.0256,0.0243,0.026,0.0263,0.0264,0.0252",0.0281
58,"0.0129,0.0136,0.0149,0.0165,0.0245,0.0288,0.0297,0.0272,0.0275,0.0273,0.0268,0.0315,0.0332,0.0337,0.0302,0.0271,0.0271,0.0256,0.0243,0.026,0.0263,0.0264,0.0252,0.0281",0.0264
