,X_train (sequence),y_train
222,"0.144,0.1397,0.1388,0.1286,0.1211,0.1165,0.1195,0.1141,0.107,0.1315,0.1476,0.2368,0.2646,0.3231,0.3903,0.3031,0.1631,0.1485,0.1147,0.0906,0.085,0.0878,0.0889,0.0862",0.0792
223,"0.1397,0.1388,0.1286,0.1211,0.1165,0.1195,0.1141,0.107,0.1315,0.1476,0.2368,0.2646,0.3231,0.3903,0.3031,0.1631,0.1485,0.1147,0.0906,0.085,0.0878,0.0889,0.0862,0.0792",0.0735
224,"0.1388,0.1286,0.1211,0.1165,0.1195,0.1141,0.107,0.1315,0.1476,0.2368,0.2646,0.3231,0.3903,0.3031,0.1631,0.1485,0.1147,0.0906,0.085,0.0878,0.0889,0.0862,0.0792,0.0735",0.0757
225,"0.1286,0.1211,0.1165,0.1195,0.1141,0.107,0.1315,0.1476,0.2368,0.2646,0.3231,0.3903,0.3031,0.1631,0.1485,0.1147,0.0906,0.085,0.0878,0.0889,0.0862,0.0792,0.0735,0.0757",0.097
226,"0.1211,0.1165,0.1195,0.1141,0.107,0.1315,0.1476,0.2368,0.2646,0.3231,0.3903,0.3031,0.1631,0.1485,0.1147,0.0906,0.085,0.0878,0.0889,0.0862,0.0792,0.0735,0.0757,0.097",0.0887
227,"0.1165,0.1195,0.1141,0.107,0.1315,0.1476,0.2368,0.2646,0.3231,0.3903,0.3031,0.1631,0.1485,0.1147,0.0906,0.085,0.0878,0.0889,0.0862,0.0792,0.0735,0.0757,0.097,0.0887",0.0804
228,"0.1195,0.1141,0.107,0.1315,0.1476,0.2368,0.2646,0.3231,0.3903,0.3031,0.1631,0.1485,0.1147,0.0906,0.085,0.0878,0.0889,0.0862,0.0792,0.0735,0.0757,0.097,0.0887,0.0804",0.0756
229,"0.1141,0.107,0.1315,0.1476,0.2368,0.2646,0.3231,0.3903,0.3031,0.1631,0.1485,0.1147,0.0906,0.085,0.0878,0.0889,0.0862,0.0792,0.0735,0.0757,0.097,0.0887,0.0804,0.0756",0.0802
230,"0.107,0.1315,0.1476,0.2368,0.2646,0.3231,0.3903,0.3031,0.1631,0.1485,0.1147,0.0906,0.085,0.0878,0.0889,0.0862,0.0792,0.0735,0.0757,0.097,0.0887,0.0804,0.0756,0.0802",0.0743
231,"0.1315,0.1476,0.2368,0.2646,0.3231,0.3903,0.3031,0.1631,0.1485,0.1147,0.0906,0.085,0.0878,0.0889,0.0862,0.0792,0.0735,0.0757,0.097,0.0887,0.0804,0.0756,0.0802,0.0743",0.065
232,"0.1476,0.2368,0.2646,0.3231,0.3903,0.3031,0.1631,0.1485,0.1147,0.0906,0.085,0.0878,0.0889,0.0862,0.0792,0.0735,0.0757,0.097,0.0887,0.0804,0.0756,0.0802,0.0743,0.065",0.0693
233,"0.2368,0.2646,0.3231,0.3903,0.3031,0.1631,0.1485,0.1147,0.0906,0.085,0.0878,0.0889,0.0862,0.0792,0.0735,0.0757,0.097,0.0887,0.0804,0.0756,0.0802,0.0743,0.065,0.0693",0.0844
234,"0.2646,0.3231,0.3903,0.3031,0.1631,0.1485,0.1147,0.0906,0.085,0.0878,0.0889,0.0862,0.0792,0.0735,0.0757,0.097,0.0887,0.0804,0.0756,0.0802,0.0743,0.065,0.0693,0.0844",0.0954
235,"0.3231,0.3903,0.3031,0.1631,0.1485,0.1147,0.0906,0.085,0.0878,0.0889,0.0862,0.0792,0.0735,0.0757,0.097,0.0887,0.0804,0.0756,0.0802,0.0743,0.065,0.0693,0.0844,0.0954",0.0917
236,"0.3903,0.3031,0.1631,0.1485,0.1147,0.0906,0.085,0.0878,0.0889,0.0862,0.0792,0.0735,0.0757,0.097,0.0887,0.0804,0.0756,0.0802,0.0743,0.065,0.0693,0.0844,0.0954,0.0917",0.0901
237,"0.3031,0.1631,0.1485,0.1147,0.0906,0.085,0.0878,0.0889,0.0862,0.0792,0.0735,0.0757,0.097,0.0887,0.0804,0.0756,0.0802,0.0743,0.065,0.0693,0.0844,0.0954,0.0917,0.0901",0.0995
238,"0.1631,0.1485,0.1147,0.0906,0.085,0.0878,0.0889,0.0862,0.0792,0.0735,0.0757,0.097,0.0887,0.0804,0.0756,0.0802,0.0743,0.065,0.0693,0.0844,0.0954,0.0917,0.0901,0.0995",0.1002
239,"0.1485,0.1147,0.0906,0.085,0.0878,0.0889,0.0862,0.0792,0.0735,0.0757,0.097,0.0887,0.0804,0.0756,0.0802,0.0743,0.065,0.0693,0.0844,0.0954,0.0917,0.0901,0.0995,0.1002",0.1053
240,"0.1147,0.0906,0.085,0.0878,0.0889,0.0862,0.0792,0.0735,0.0757,0.097,0.0887,0.0804,0.0756,0.0802,0.0743,0.065,0.0693,0.0844,0.0954,0.0917,0.0901,0.0995,0.1002,0.1053",0.1131
241,"0.0906,0.085,0.0878,0.0889,0.0862,0.0792,0.0735,0.0757,0.097,0.0887,0.0804,0.0756,0.0802,0.0743,0.065,0.0693,0.0844,0.0954,0.0917,0.0901,0.0995,0.1002,0.1053,0.1131",0.1306
242,"0.085,0.0878,0.0889,0.0862,0.0792,0.0735,0.0757,0.097,0.0887,0.0804,0.0756,0.0802,0.0743,0.065,0.0693,0.0844,0.0954,0.0917,0.0901,0.0995,0.1002,0.1053,0.1131,0.1306",0.1393
243,"0.0878,0.0889,0.0862,0.0792,0.0735,0.0757,0.097,0.0887,0.0804,0.0756,0.0802,0.0743,0.065,0.0693,0.0844,0.0954,0.0917,0.0901,0.0995,0.1002,0.1053,0.1131,0.1306,0.1393",0.1658
244,"0.0889,0.0862,0.0792,0.0735,0.0757,0.097,0.0887,0.0804,0.0756,0.0802,0.0743,0.065,0.0693,0.0844,0.0954,0.0917,0.0901,0.0995,0.1002,0.1053,0.1131,0.1306,0.1393,0.1658",0.1617
245,"0.0862,0.0792,0.0735,0.0757,0.097,0.0887,0.0804,0.0756,0.0802,0.0743,0.065,0.0693,0.0844,0.0954,0.0917,0.0901,0.0995,0.1002,0.1053,0.1131,0.1306,0.1393,0.1658,0.1617",0.1783
246,"0.0792,0.0735,0.0757,0.097,0.0887,0.0804,0.0756,0.0802,0.0743,0.065,0.0693,0.0844,0.0954,0.0917,0.0901,0.0995,0.1002,0.1053,0.1131,0.1306,0.1393,0.1658,0.1617,0.1783",0.2121
247,"0.0735,0.0757,0.097,0.0887,0.0804,0.0756,0.0802,0.0743,0.065,0.0693,0.0844,0.0954,0.0917,0.0901,0.0995,0.1002,0.1053,0.1131,0.1306,0.1393,0.1658,0.1617,0.1783,0.2121",0.2038
248,"0.0757,0.097,0.0887,0.0804,0.0756,0.0802,0.0743,0.065,0.0693,0.0844,0.0954,0.0917,0.0901,0.0995,0.1002,0.1053,0.1131,0.1306,0.1393,0.1658,0.1617,0.1783,0.2121,0.2038",0.2121
249,"0.097,0.0887,0.0804,0.0756,0.0802,0.0743,0.065,0.0693,0.0844,0.0954,0.0917,0.0901,0.0995,0.1002,0.1053,0.1131,0.1306,0.1393,0.1658,0.1617,0.1783,0.2121,0.2038,0.2121",0.181
250,"0.0887,0.0804,0.0756,0.0802,0.0743,0.065,0.0693,0.0844,0.0954,0.0917,0.0901,0.0995,0.1002,0.1053,0.1131,0.1306,0.1393,0.1658,0.1617,0.1783,0.2121,0.2038,0.2121,0.181",0.2038
251,"0.0804,0.0756,0.0802,0.0743,0.065,0.0693,0.0844,0.0954,0.0917,0.0901,0.0995,0.1002,0.1053,0.1131,0.1306,0.1393,0.1658,0.1617,0.1783,0.2121,0.2038,0.2121,0.181,0.2038",0.2033
252,"0.0756,0.0802,0.0743,0.065,0.0693,0.0844,0.0954,0.0917,0.0901,0.0995,0.1002,0.1053,0.1131,0.1306,0.1393,0.1658,0.1617,0.1783,0.2121,0.2038,0.2121,0.181,0.2038,0.2033",0.2526
253,"0.0802,0.0743,0.065,0.0693,0.0844,0.0954,0.0917,0.0901,0.0995,0.1002,0.1053,0.1131,0.1306,0.1393,0.1658,0.1617,0.1783,0.2121,0.2038,0.2121,0.181,0.2038,0.2033,0.2526",0.2471
254,"0.0743,0.065,0.0693,0.0844,0.0954,0.0917,0.0901,0.0995,0.1002,0.1053,0.1131,0.1306,0.1393,0.1658,0.1617,0.1783,0.2121,0.2038,0.2121,0.181,0.2038,0.2033,0.2526,0.2471",0.2388
255,"0.065,0.0693,0.0844,0.0954,0.0917,0.0901,0.0995,0.1002,0.1053,0.1131,0.1306,0.1393,0.1658,0.1617,0.1783,0.2121,0.2038,0.2121,0.181,0.2038,0.2033,0.2526,0.2471,0.2388",0.2576
256,"0.0693,0.0844,0.0954,0.0917,0.0901,0.0995,0.1002,0.1053,0.1131,0.1306,0.1393,0.1658,0.1617,0.1783,0.2121,0.2038,0.2121,0.181,0.2038,0.2033,0.2526,0.2471,0.2388,0.2576",0.3
257,"0.0844,0.0954,0.0917,0.0901,0.0995,0.1002,0.1053,0.1131,0.1306,0.1393,0.1658,0.1617,0.1783,0.2121,0.2038,0.2121,0.181,0.2038,0.2033,0.2526,0.2471,0.2388,0.2576,0.3",0.2636
258,"0.0954,0.0917,0.0901,0.0995,0.1002,0.1053,0.1131,0.1306,0.1393,0.1658,0.1617,0.1783,0.2121,0.2038,0.2121,0.181,0.2038,0.2033,0.2526,0.2471,0.2388,0.2576,0.3,0.2636",0.277
259,"0.0917,0.0901,0.0995,0.1002,0.1053,0.1131,0.1306,0.1393,0.1658,0.1617,0.1783,0.2121,0.2038,0.2121,0.181,0.2038,0.2033,0.2526,0.2471,0.2388,0.2576,0.3,0.2636,0.277",0.2947
260,"0.0901,0.0995,0.1002,0.1053,0.1131,0.1306,0.1393,0.1658,0.1617,0.1783,0.2121,0.2038,0.2121,0.181,0.2038,0.2033,0.2526,0.2471,0.2388,0.2576,0.3,0.2636,0.277,0.2947",0.3012
261,"0.0995,0.1002,0.1053,0.1131,0.1306,0.1393,0.1658,0.1617,0.1783,0.2121,0.2038,0.2121,0.181,0.2038,0.2033,0.2526,0.2471,0.2388,0.2576,0.3,0.2636,0.277,0.2947,0.3012",0.3007
262,"0.1002,0.1053,0.1131,0.1306,0.1393,0.1658,0.1617,0.1783,0.2121,0.2038,0.2121,0.181,0.2038,0.2033,0.2526,0.2471,0.2388,0.2576,0.3,0.2636,0.277,0.2947,0.3012,0.3007",0.315
263,"0.1053,0.1131,0.1306,0.1393,0.1658,0.1617,0.1783,0.2121,0.2038,0.2121,0.181,0.2038,0.2033,0.2526,0.2471,0.2388,0.2576,0.3,0.2636,0.277,0.2947,0.3012,0.3007,0.315",0.3318
264,"0.1131,0.1306,0.1393,0.1658,0.1617,0.1783,0.2121,0.2038,0.2121,0.181,0.2038,0.2033,0.2526,0.2471,0.2388,0.2576,0.3,0.2636,0.277,0.2947,0.3012,0.3007,0.315,0.3318",0.2788
265,"0.1306,0.1393,0.1658,0.1617,0.1783,0.2121,0.2038,0.2121,0.181,0.2038,0.2033,0.2526,0.2471,0.2388,0.2576,0.3,0.2636,0.277,0.2947,0.3012,0.3007,0.315,0.3318,0.2788",0.3219
266,"0.1393,0.1658,0.1617,0.1783,0.2121,0.2038,0.2121,0.181,0.2038,0.2033,0.2526,0.2471,0.2388,0.2576,0.3,0.2636,0.277,0.2947,0.3012,0.3007,0.315,0.3318,0.2788,0.3219",0.3313
267,"0.1658,0.1617,0.1783,0.2121,0.2038,0.2121,0.181,0.2038,0.2033,0.2526,0.2471,0.2388,0.2576,0.3,0.2636,0.277,0.2947,0.3012,0.3007,0.315,0.3318,0.2788,0.3219,0.3313",0.3495
268,"0.1617,0.1783,0.2121,0.2038,0.2121,0.181,0.2038,0.2033,0.2526,0.2471,0.2388,0.2576,0.3,0.2636,0.277,0.2947,0.3012,0.3007,0.315,0.3318,0.2788,0.3219,0.3313,0.3495",0.3906
269,"0.1783,0.2121,0.2038,0.2121,0.181,0.2038,0.2033,0.2526,0.2471,0.2388,0.2576,0.3,0.2636,0.277,0.2947,0.3012,0.3007,0.315,0.3318,0.2788,0.3219,0.3313,0.3495,0.3906",0.4083
270,"0.2121,0.2038,0.2121,0.181,0.2038,0.2033,0.2526,0.2471,0.2388,0.2576,0.3,0.2636,0.277,0.2947,0.3012,0.3007,0.315,0.3318,0.2788,0.3219,0.3313,0.3495,0.3906,0.4083",0.4158
271,"0.2038,0.2121,0.181,0.2038,0.2033,0.2526,0.2471,0.2388,0.2576,0.3,0.2636,0.277,0.2947,0.3012,0.3007,0.315,0.3318,0.2788,0.3219,0.3313,0.3495,0.3906,0.4083,0.4158",0.4226
272,"0.2121,0.181,0.2038,0.2033,0.2526,0.2471,0.2388,0.2576,0.3,0.2636,0.277,0.2947,0.3012,0.3007,0.315,0.3318,0.2788,0.3219,0.3313,0.3495,0.3906,0.4083,0.4158,0.4226",0.4005
273,"0.181,0.2038,0.2033,0.2526,0.2471,0.2388,0.2576,0.3,0.2636,0.277,0.2947,0.3012,0.3007,0.315,0.3318,0.2788,0.3219,0.3313,0.3495,0.3906,0.4083,0.4158,0.4226,0.4005",0.3845
274,"0.2038,0.2033,0.2526,0.2471,0.2388,0.2576,0.3,0.2636,0.277,0.2947,0.3012,0.3007,0.315,0.3318,0.2788,0.3219,0.3313,0.3495,0.3906,0.4083,0.4158,0.4226,0.4005,0.3845",0.4113
275,"0.2033,0.2526,0.2471,0.2388,0.2576,0.3,0.2636,0.277,0.2947,0.3012,0.3007,0.315,0.3318,0.2788,0.3219,0.3313,0.3495,0.3906,0.4083,0.4158,0.4226,0.4005,0.3845,0.4113",0.3956
276,"0.2526,0.2471,0.2388,0.2576,0.3,0.2636,0.277,0.2947,0.3012,0.3007,0.315,0.3318,0.2788,0.3219,0.3313,0.3495,0.3906,0.4083,0.4158,0.4226,0.4005,0.3845,0.4113,0.3956",0.4436
277,"0.2471,0.2388,0.2576,0.3,0.2636,0.277,0.2947,0.3012,0.3007,0.315,0.3318,0.2788,0.3219,0.3313,0.3495,0.3906,0.4083,0.4158,0.4226,0.4005,0.3845,0.4113,0.3956,0.4436",0.4756
278,"0.2388,0.2576,0.3,0.2636,0.277,0.2947,0.3012,0.3007,0.315,0.3318,0.2788,0.3219,0.3313,0.3495,0.3906,0.4083,0.4158,0.4226,0.4005,0.3845,0.4113,0.3956,0.4436,0.4756",0.4203
279,"0.2576,0.3,0.2636,0.277,0.2947,0.3012,0.3007,0.315,0.3318,0.2788,0.3219,0.3313,0.3495,0.3906,0.4083,0.4158,0.4226,0.4005,0.3845,0.4113,0.3956,0.4436,0.4756,0.4203",0.4339
280,"0.3,0.2636,0.277,0.2947,0.3012,0.3007,0.315,0.3318,0.2788,0.3219,0.3313,0.3495,0.3906,0.4083,0.4158,0.4226,0.4005,0.3845,0.4113,0.3956,0.4436,0.4756,0.4203,0.4339",0.4271
281,"0.2636,0.277,0.2947,0.3012,0.3007,0.315,0.3318,0.2788,0.3219,0.3313,0.3495,0.3906,0.4083,0.4158,0.4226,0.4005,0.3845,0.4113,0.3956,0.4436,0.4756,0.4203,0.4339,0.4271",0.46
282,"0.277,0.2947,0.3012,0.3007,0.315,0.3318,0.2788,0.3219,0.3313,0.3495,0.3906,0.4083,0.4158,0.4226,0.4005,0.3845,0.4113,0.3956,0.4436,0.4756,0.4203,0.4339,0.4271,0.46",0.5142
283,"0.2947,0.3012,0.3007,0.315,0.3318,0.2788,0.3219,0.3313,0.3495,0.3906,0.4083,0.4158,0.4226,0.4005,0.3845,0.4113,0.3956,0.4436,0.4756,0.4203,0.4339,0.4271,0.46,0.5142",0.4784
284,"0.3012,0.3007,0.315,0.3318,0.2788,0.3219,0.3313,0.3495,0.3906,0.4083,0.4158,0.4226,0.4005,0.3845,0.4113,0.3956,0.4436,0.4756,0.4203,0.4339,0.4271,0.46,0.5142,0.4784",0.4224
285,"0.3007,0.315,0.3318,0.2788,0.3219,0.3313,0.3495,0.3906,0.4083,0.4158,0.4226,0.4005,0.3845,0.4113,0.3956,0.4436,0.4756,0.4203,0.4339,0.4271,0.46,0.5142,0.4784,0.4224",0.3878
286,"0.315,0.3318,0.2788,0.3219,0.3313,0.3495,0.3906,0.4083,0.4158,0.4226,0.4005,0.3845,0.4113,0.3956,0.4436,0.4756,0.4203,0.4339,0.4271,0.46,0.5142,0.4784,0.4224,0.3878",0.3788
287,"0.3318,0.2788,0.3219,0.3313,0.3495,0.3906,0.4083,0.4158,0.4226,0.4005,0.3845,0.4113,0.3956,0.4436,0.4756,0.4203,0.4339,0.4271,0.46,0.5142,0.4784,0.4224,0.3878,0.3788",0.3831
288,"0.2788,0.3219,0.3313,0.3495,0.3906,0.4083,0.4158,0.4226,0.4005,0.3845,0.4113,0.3956,0.4436,0.4756,0.4203,0.4339,0.4271,0.46,0.5142,0.4784,0.4224,0.3878,0.3788,0.3831",0.4043
289,"0.3219,0.3313,0.3495,0.3906,0.4083,0.4158,0.4226,0.4005,0.3845,0.4113,0.3956,0.4436,0.4756,0.4203,0.4339,0.4271,0.46,0.5142,0.4784,0.4224,0.3878,0.3788,0.3831,0.4043",0.4596
290,"0.3313,0.3495,0.3906,0.4083,0.4158,0.4226,0.4005,0.3845,0.4113,0.3956,0.4436,0.4756,0.4203,0.4339,0.4271,0.46,0.5142,0.4784,0.4224,0.3878,0.3788,0.3831,0.4043,0.4596",0.477
291,"0.3495,0.3906,0.4083,0.4158,0.4226,0.4005,0.3845,0.4113,0.3956,0.4436,0.4756,0.4203,0.4339,0.4271,0.46,0.5142,0.4784,0.4224,0.3878,0.3788,0.3831,0.4043,0.4596,0.477",0.4836
292,"0.3906,0.4083,0.4158,0.4226,0.4005,0.3845,0.4113,0.3956,0.4436,0.4756,0.4203,0.4339,0.4271,0.46,0.5142,0.4784,0.4224,0.3878,0.3788,0.3831,0.4043,0.4596,0.477,0.4836",0.4492
293,"0.4083,0.4158,0.4226,0.4005,0.3845,0.4113,0.3956,0.4436,0.4756,0.4203,0.4339,0.4271,0.46,0.5142,0.4784,0.4224,0.3878,0.3788,0.3831,0.4043,0.4596,0.477,0.4836,0.4492",0.501
294,"0.4158,0.4226,0.4005,0.3845,0.4113,0.3956,0.4436,0.4756,0.4203,0.4339,0.4271,0.46,0.5142,0.4784,0.4224,0.3878,0.3788,0.3831,0.4043,0.4596,0.477,0.4836,0.4492,0.501",0.4991
295,"0.4226,0.4005,0.3845,0.4113,0.3956,0.4436,0.4756,0.4203,0.4339,0.4271,0.46,0.5142,0.4784,0.4224,0.3878,0.3788,0.3831,0.4043,0.4596,0.477,0.4836,0.4492,0.501,0.4991",0.4977
296,"0.4005,0.3845,0.4113,0.3956,0.4436,0.4756,0.4203,0.4339,0.4271,0.46,0.5142,0.4784,0.4224,0.3878,0.3788,0.3831,0.4043,0.4596,0.477,0.4836,0.4492,0.501,0.4991,0.4977",0.5749
297,"0.3845,0.4113,0.3956,0.4436,0.4756,0.4203,0.4339,0.4271,0.46,0.5142,0.4784,0.4224,0.3878,0.3788,0.3831,0.4043,0.4596,0.477,0.4836,0.4492,0.501,0.4991,0.4977,0.5749",0.6187
298,"0.4113,0.3956,0.4436,0.4756,0.4203,0.4339,0.4271,0.46,0.5142,0.4784,0.4224,0.3878,0.3788,0.3831,0.4043,0.4596,0.477,0.4836,0.4492,0.501,0.4991,0.4977,0.5749,0.6187",0.6267
299,"0.3956,0.4436,0.4756,0.4203,0.4339,0.4271,0.46,0.5142,0.4784,0.4224,0.3878,0.3788,0.3831,0.4043,0.4596,0.477,0.4836,0.4492,0.501,0.4991,0.4977,0.5749,0.6187,0.6267",0.5928
300,"0.4436,0.4756,0.4203,0.4339,0.4271,0.46,0.5142,0.4784,0.4224,0.3878,0.3788,0.3831,0.4043,0.4596,0.477,0.4836,0.4492,0.501,0.4991,0.4977,0.5749,0.6187,0.6267,0.5928",0.574
301,"0.4756,0.4203,0.4339,0.4271,0.46,0.5142,0.4784,0.4224,0.3878,0.3788,0.3831,0.4043,0.4596,0.477,0.4836,0.4492,0.501,0.4991,0.4977,0.5749,0.6187,0.6267,0.5928,0.574",0.5754
302,"0.4203,0.4339,0.4271,0.46,0.5142,0.4784,0.4224,0.3878,0.3788,0.3831,0.4043,0.4596,0.477,0.4836,0.4492,0.501,0.4991,0.4977,0.5749,0.6187,0.6267,0.5928,0.574,0.5754",0.509
303,"0.4339,0.4271,0.46,0.5142,0.4784,0.4224,0.3878,0.3788,0.3831,0.4043,0.4596,0.477,0.4836,0.4492,0.501,0.4991,0.4977,0.5749,0.6187,0.6267,0.5928,0.574,0.5754,0.509",0.5716
304,"0.4271,0.46,0.5142,0.4784,0.4224,0.3878,0.3788,0.3831,0.4043,0.4596,0.477,0.4836,0.4492,0.501,0.4991,0.4977,0.5749,0.6187,0.6267,0.5928,0.574,0.5754,0.509,0.5716",0.5834
305,"0.46,0.5142,0.4784,0.4224,0.3878,0.3788,0.3831,0.4043,0.4596,0.477,0.4836,0.4492,0.501,0.4991,0.4977,0.5749,0.6187,0.6267,0.5928,0.574,0.5754,0.509,0.5716,0.5834",0.5839
306,"0.5142,0.4784,0.4224,0.3878,0.3788,0.3831,0.4043,0.4596,0.477,0.4836,0.4492,0.501,0.4991,0.4977,0.5749,0.6187,0.6267,0.5928,0.574,0.5754,0.509,0.5716,0.5834,0.5839",0.5632
307,"0.4784,0.4224,0.3878,0.3788,0.3831,0.4043,0.4596,0.477,0.4836,0.4492,0.501,0.4991,0.4977,0.5749,0.6187,0.6267,0.5928,0.574,0.5754,0.509,0.5716,0.5834,0.5839,0.5632",0.622
308,"0.4224,0.3878,0.3788,0.3831,0.4043,0.4596,0.477,0.4836,0.4492,0.501,0.4991,0.4977,0.5749,0.6187,0.6267,0.5928,0.574,0.5754,0.509,0.5716,0.5834,0.5839,0.5632,0.622",0.79
309,"0.3878,0.3788,0.3831,0.4043,0.4596,0.477,0.4836,0.4492,0.501,0.4991,0.4977,0.5749,0.6187,0.6267,0.5928,0.574,0.5754,0.509,0.5716,0.5834,0.5839,0.5632,0.622,0.79",0.7726
310,"0.3788,0.3831,0.4043,0.4596,0.477,0.4836,0.4492,0.501,0.4991,0.4977,0.5749,0.6187,0.6267,0.5928,0.574,0.5754,0.509,0.5716,0.5834,0.5839,0.5632,0.622,0.79,0.7726",0.7289
311,"0.3831,0.4043,0.4596,0.477,0.4836,0.4492,0.501,0.4991,0.4977,0.5749,0.6187,0.6267,0.5928,0.574,0.5754,0.509,0.5716,0.5834,0.5839,0.5632,0.622,0.79,0.7726,0.7289",0.687
312,"0.4043,0.4596,0.477,0.4836,0.4492,0.501,0.4991,0.4977,0.5749,0.6187,0.6267,0.5928,0.574,0.5754,0.509,0.5716,0.5834,0.5839,0.5632,0.622,0.79,0.7726,0.7289,0.687",0.7072
313,"0.4596,0.477,0.4836,0.4492,0.501,0.4991,0.4977,0.5749,0.6187,0.6267,0.5928,0.574,0.5754,0.509,0.5716,0.5834,0.5839,0.5632,0.622,0.79,0.7726,0.7289,0.687,0.7072",0.7868
314,"0.477,0.4836,0.4492,0.501,0.4991,0.4977,0.5749,0.6187,0.6267,0.5928,0.574,0.5754,0.509,0.5716,0.5834,0.5839,0.5632,0.622,0.79,0.7726,0.7289,0.687,0.7072,0.7868",0.8682
315,"0.4836,0.4492,0.501,0.4991,0.4977,0.5749,0.6187,0.6267,0.5928,0.574,0.5754,0.509,0.5716,0.5834,0.5839,0.5632,0.622,0.79,0.7726,0.7289,0.687,0.7072,0.7868,0.8682",0.9078
316,"0.4492,0.501,0.4991,0.4977,0.5749,0.6187,0.6267,0.5928,0.574,0.5754,0.509,0.5716,0.5834,0.5839,0.5632,0.622,0.79,0.7726,0.7289,0.687,0.7072,0.7868,0.8682,0.9078",0.9741
317,"0.501,0.4991,0.4977,0.5749,0.6187,0.6267,0.5928,0.574,0.5754,0.509,0.5716,0.5834,0.5839,0.5632,0.622,0.79,0.7726,0.7289,0.687,0.7072,0.7868,0.8682,0.9078,0.9741",1
318,"0.4991,0.4977,0.5749,0.6187,0.6267,0.5928,0.574,0.5754,0.509,0.5716,0.5834,0.5839,0.5632,0.622,0.79,0.7726,0.7289,0.687,0.7072,0.7868,0.8682,0.9078,0.9741,1",0.8997
319,"0.4977,0.5749,0.6187,0.6267,0.5928,0.574,0.5754,0.509,0.5716,0.5834,0.5839,0.5632,0.622,0.79,0.7726,0.7289,0.687,0.7072,0.7868,0.8682,0.9078,0.9741,1,0.8997",0.8887
320,"0.5749,0.6187,0.6267,0.5928,0.574,0.5754,0.509,0.5716,0.5834,0.5839,0.5632,0.622,0.79,0.7726,0.7289,0.687,0.7072,0.7868,0.8682,0.9078,0.9741,1,0.8997,0.8887",0.7174
321,"0.6187,0.6267,0.5928,0.574,0.5754,0.509,0.5716,0.5834,0.5839,0.5632,0.622,0.79,0.7726,0.7289,0.687,0.7072,0.7868,0.8682,0.9078,0.9741,1,0.8997,0.8887,0.7174",0.6233
322,"0.6267,0.5928,0.574,0.5754,0.509,0.5716,0.5834,0.5839,0.5632,0.622,0.79,0.7726,0.7289,0.687,0.7072,0.7868,0.8682,0.9078,0.9741,1,0.8997,0.8887,0.7174,0.6233",0.6407
323,"0.5928,0.574,0.5754,0.509,0.5716,0.5834,0.5839,0.5632,0.622,0.79,0.7726,0.7289,0.687,0.7072,0.7868,0.8682,0.9078,0.9741,1,0.8997,0.8887,0.7174,0.6233,0.6407",0.5921
324,"0.574,0.5754,0.509,0.5716,0.5834,0.5839,0.5632,0.622,0.79,0.7726,0.7289,0.687,0.7072,0.7868,0.8682,0.9078,0.9741,1,0.8997,0.8887,0.7174,0.6233,0.6407,0.5921",0.6862
325,"0.5754,0.509,0.5716,0.5834,0.5839,0.5632,0.622,0.79,0.7726,0.7289,0.687,0.7072,0.7868,0.8682,0.9078,0.9741,1,0.8997,0.8887,0.7174,0.6233,0.6407,0.5921,0.6862",0.6458
326,"0.509,0.5716,0.5834,0.5839,0.5632,0.622,0.79,0.7726,0.7289,0.687,0.7072,0.7868,0.8682,0.9078,0.9741,1,0.8997,0.8887,0.7174,0.6233,0.6407,0.5921,0.6862,0.6458",0.6913
327,"0.5716,0.5834,0.5839,0.5632,0.622,0.79,0.7726,0.7289,0.687,0.7072,0.7868,0.8682,0.9078,0.9741,1,0.8997,0.8887,0.7174,0.6233,0.6407,0.5921,0.6862,0.6458,0.6913",0.8232
328,"0.5834,0.5839,0.5632,0.622,0.79,0.7726,0.7289,0.687,0.7072,0.7868,0.8682,0.9078,0.9741,1,0.8997,0.8887,0.7174,0.6233,0.6407,0.5921,0.6862,0.6458,0.6913,0.8232",0.8437
329,"0.5839,0.5632,0.622,0.79,0.7726,0.7289,0.687,0.7072,0.7868,0.8682,0.9078,0.9741,1,0.8997,0.8887,0.7174,0.6233,0.6407,0.5921,0.6862,0.6458,0.6913,0.8232,0.8437",0.7639
330,"0.5632,0.622,0.79,0.7726,0.7289,0.687,0.7072,0.7868,0.8682,0.9078,0.9741,1,0.8997,0.8887,0.7174,0.6233,0.6407,0.5921,0.6862,0.6458,0.6913,0.8232,0.8437,0.7639",0.7251
331,"0.622,0.79,0.7726,0.7289,0.687,0.7072,0.7868,0.8682,0.9078,0.9741,1,0.8997,0.8887,0.7174,0.6233,0.6407,0.5921,0.6862,0.6458,0.6913,0.8232,0.8437,0.7639,0.7251",0.6622
332,"0.79,0.7726,0.7289,0.687,0.7072,0.7868,0.8682,0.9078,0.9741,1,0.8997,0.8887,0.7174,0.6233,0.6407,0.5921,0.6862,0.6458,0.6913,0.8232,0.8437,0.7639,0.7251,0.6622",0.5492
333,"0.7726,0.7289,0.687,0.7072,0.7868,0.8682,0.9078,0.9741,1,0.8997,0.8887,0.7174,0.6233,0.6407,0.5921,0.6862,0.6458,0.6913,0.8232,0.8437,0.7639,0.7251,0.6622,0.5492",0.5262
